x,y,heigth
0,4,10
0,5,10
0,6,4
0,9,4
0,10,7
0,11,10
0,12,12
0,13,10
0,14,12
0,18,9
0,19,7
0,20,5
0,23,10
0,24,9
0,27,9
0,28,12
0,31,12
0,32,10
0,40,5
0,41,11
0,42,13
0,43,11
0,45,9
0,46,8
0,56,4
0,60,10
0,61,12
0,62,10
0,71,9
0,72,11
0,75,7
0,76,5
0,107,16
0,108,10
0,109,11
0,110,10
0,125,8
1,0,17
1,1,11
1,4,4
1,6,4
1,7,4
1,9,7
1,10,8
1,11,9
1,12,7
1,13,7
1,16,10
1,17,9
1,18,7
1,19,11
1,20,12
1,23,9
1,24,9
1,31,9
1,32,8
1,40,7
1,41,15
1,42,16
1,45,11
1,46,11
1,55,12
1,56,12
1,57,8
1,59,4
1,60,10
1,61,10
1,62,7
1,71,4
1,72,8
1,75,4
1,76,4
1,106,16
1,107,15
1,108,12
1,109,11
1,110,12
1,124,4
1,125,9
2,0,19
2,1,13
2,4,12
2,5,10
2,6,9
2,7,9
2,8,10
2,9,4
2,10,8
2,15,7
2,16,8
2,17,8
2,18,8
2,19,12
2,24,10
2,28,4
2,31,10
2,32,11
2,33,4
2,40,7
2,41,13
2,42,16
2,45,11
2,46,10
2,54,4
2,55,10
2,56,11
2,57,8
2,60,8
2,61,8
2,71,4
2,72,11
2,75,9
2,76,8
2,106,15
2,107,14
2,124,4
2,125,9
3,1,8
3,13,4
3,14,9
3,15,8
3,16,9
3,17,7
3,18,12
3,24,9
3,28,16
3,29,12
3,31,12
3,32,12
3,33,9
3,40,10
3,41,12
3,42,12
3,45,10
3,46,9
3,54,9
3,55,12
3,56,11
3,71,7
3,72,9
3,106,15
3,107,14
3,108,11
3,124,8
3,125,5
3,127,12
4,0,4
4,1,12
4,2,12
4,10,8
4,11,8
4,12,9
4,13,9
4,14,5
4,16,14
4,17,11
4,18,8
4,21,11
4,24,8
4,28,11
4,29,11
4,31,5
4,32,13
4,33,10
4,35,4
4,36,5
4,40,13
4,41,14
4,42,13
4,44,9
4,45,10
4,46,5
4,54,4
4,55,9
4,69,4
4,70,5
4,71,8
4,72,10
4,106,14
4,107,11
4,108,12
4,109,12
4,110,7
4,124,9
4,125,7
5,0,4
5,1,11
5,2,11
5,5,10
5,6,10
5,7,8
5,8,8
5,9,10
5,10,9
5,11,9
5,12,9
5,13,5
5,16,13
5,17,14
5,20,12
5,21,12
5,24,9
5,25,8
5,27,4
5,28,10
5,29,11
5,32,8
5,33,8
5,35,4
5,36,11
5,40,13
5,41,14
5,42,14
5,44,10
5,45,11
5,46,7
5,52,5
5,53,12
5,54,7
5,70,4
5,71,5
5,72,8
5,73,4
5,124,4
5,125,8
5,126,9
6,0,9
6,1,13
6,5,10
6,6,10
6,7,10
6,8,8
6,9,5
6,10,5
6,15,13
6,16,12
6,17,12
6,19,12
6,20,11
6,21,9
6,24,8
6,25,10
6,27,5
6,28,5
6,29,9
6,32,11
6,33,12
6,36,10
6,39,4
6,40,15
6,41,15
6,44,12
6,45,9
6,51,12
6,52,14
6,53,15
6,54,15
6,72,9
6,73,8
6,116,11
6,123,7
6,124,7
6,125,9
6,126,9
7,1,14
7,5,12
7,6,11
7,7,11
7,8,7
7,15,10
7,16,10
7,19,11
7,20,9
7,21,7
7,22,5
7,24,10
7,25,10
7,26,7
7,27,4
7,29,10
7,30,10
7,32,10
7,33,11
7,34,4
7,36,10
7,39,4
7,40,13
7,41,14
7,43,7
7,44,7
7,45,4
7,50,11
7,51,14
7,52,14
7,53,13
7,72,8
7,73,9
7,106,4
7,107,12
7,108,12
7,109,9
7,116,11
7,117,31
7,121,8
7,122,8
7,123,8
7,124,5
7,125,9
7,126,10
8,1,12
8,5,11
8,6,12
8,7,9
8,8,5
8,11,4
8,14,13
8,15,12
8,18,10
8,19,12
8,20,7
8,21,11
8,22,11
8,24,9
8,25,10
8,26,4
8,29,12
8,30,10
8,33,11
8,34,7
8,40,5
8,41,7
8,43,7
8,49,12
8,50,12
8,51,11
8,52,12
8,72,8
8,73,8
8,83,7
8,107,11
8,108,12
8,109,8
8,120,7
8,121,11
8,122,11
8,123,7
8,125,10
8,126,8
8,127,7
9,1,7
9,2,7
9,5,11
9,6,13
9,7,12
9,8,9
9,9,7
9,10,12
9,11,10
9,12,8
9,13,9
9,14,12
9,15,10
9,18,10
9,19,10
9,20,4
9,21,10
9,22,11
9,25,9
9,26,7
9,29,8
9,30,8
9,39,4
9,40,14
9,41,10
9,43,10
9,44,10
9,45,4
9,48,11
9,49,12
9,50,9
9,51,8
9,52,4
9,72,9
9,73,9
9,82,4
9,83,7
9,84,7
9,85,8
9,108,7
9,117,12
9,118,9
9,120,9
9,121,12
9,122,11
9,125,7
9,126,9
9,127,10
10,0,7
10,1,9
10,2,8
10,6,18
10,7,9
10,8,4
10,9,9
10,10,10
10,11,9
10,12,8
10,13,11
10,14,12
10,17,10
10,18,12
10,19,8
10,21,8
10,22,11
10,25,12
10,26,10
10,30,10
10,31,5
10,34,9
10,35,5
10,40,15
10,43,12
10,44,12
10,45,8
10,47,4
10,48,5
10,49,7
10,50,5
10,72,5
10,73,9
10,78,4
10,81,7
10,82,5
10,83,8
10,84,7
10,85,9
10,86,7
10,107,8
10,108,4
10,112,8
10,116,9
10,117,12
10,118,14
10,121,8
10,122,7
10,125,5
10,126,12
10,127,11
11,0,5
11,1,8
11,2,11
11,5,5
11,6,14
11,7,9
11,9,7
11,10,9
11,11,8
11,12,8
11,13,4
11,17,11
11,18,12
11,21,7
11,22,7
11,25,10
11,26,12
11,30,12
11,31,11
11,33,8
11,34,16
11,35,10
11,39,5
11,40,10
11,43,11
11,44,12
11,47,4
11,48,5
11,72,8
11,73,11
11,78,4
11,82,7
11,83,9
11,84,9
11,85,9
